ID,香烟品类,香烟地域,香烟品牌,名称,品牌:,类型:,焦油:,焦油高低:,烟碱:,一氧化碳:,长度:,过滤嘴长:,周长:,包装形式:,主颜色:,副颜色:,条装盒数:,每盒数量:,小盒价格:,条装价格:,小盒条码:,条装条码:
104,传统烟,历史品牌,五牛,五牛(绿),五牛,烤烟型,12mg,,0.8mg,13mg,84mm,19mm,24mm,纸质软包,金,绿,,20,￥15元,￥15元,6901028024068,6901028024051
105,传统烟,历史品牌,五牛,五牛(软红),五牛,烤烟型,15mg,,1.3mg,,84mm,22mm,24mm,纸质软包,红,黄,,20,,,6901028025225,
109,传统烟,大陆,红三环,红三环(硬黄),红三环,烤烟型,9mg,,0.6mg,13mg,84mm,25mg,24mm,纸质硬盒,桔黄,红,,20,￥2.5元,￥25元,6901028128155,6901028128162
111,传统烟,大陆,红三环,红三环(软黄),红三环,烤烟型,11mg,,0.9mg,15mg,84mm,25mg,24mm,纸质软包,黄,红,,20,￥2元,￥20元,6901028128933,6901028128940
112,传统烟,大陆,红三环,红三环(喜庆),红三环,烤烟型,12mg,,0.8mg,15mg,84mm,25mg,24mm,纸质软包,红,黄,,20,￥15元,￥15元,6901028128537,6901028128544
119,传统烟,大陆,双喜,双喜(软经典),双喜,烤烟型,11mg,,1mg,13mg,84mm,20mg,25mg,纸质软包,红,金,10,20,￥1330,￥130元,6901028000826,6901028000833
120,传统烟,大陆,双喜,双喜(软),双喜,烤烟型,11mg,,1.2mg,13mg,84mm,20mg,25mg,纸质软包,红,金,10,20,￥12元,￥120元,6901028001489,6901028001687
121,传统烟,大陆,双喜,双喜(硬),双喜,烤烟型,11mg,,1.2mg,13mg,84mm,20mg,25mg,纸质硬盒,红,金,10,20,￥12元,￥120元,6901028001182,6901028001885
133,传统烟,,,软装金驼,,烤烟型,15mg,,1.0mg,,,,,,,,,,￥2元,,,
134,传统烟,,,特品金驼,,烤烟型,15mg,,1.0mg,,,,,,,,,,￥5元,,,
135,传统烟,,,硬装金驼,,烤烟型,15mg,,1.0mg,,,,,,,,,,￥3元,,,
146,传统烟,大陆,玉溪,玉溪(硬和谐),玉溪,烤烟型,10mg,,1.0mg,10mg,84mm,24mm,24mm,纸质硬盒,黄,棕,,20,￥42元,￥420元,6901028314442,6901028314459
147,传统烟,大陆,玉溪,玉溪(硬金出口),玉溪,烤烟型,11mg,,1.0mg,,84mm,24mm,24mm,纸质硬盒,金黄,红,,20,￥20元,￥200元,6901028047890,
148,传统烟,大陆,玉溪,玉溪(软),玉溪,烤烟型,11mg,,1.0mg,11mg,84mm,24mm,24mm,纸质软包,红,金,10,20,￥23元,￥230元,6901028317122,6901028317177
149,传统烟,大陆,玉溪,玉溪(硬)??玉溪硬盒1973,玉溪,烤烟型,10mg,,1.0mg,11mg,84mm,24mm,24mm,纸质硬盒,红,金,,20,￥23元,￥230元,6901028316989,6901028316866
152,传统烟,大陆,红梅,红梅(硬黄),红梅,烤烟型,11mg,,0.9mg,12mg,84mm,24mm,24mm,纸质硬盒,黄,红,,20,￥4.5元,￥45元,6901028314145,6901028316149
153,传统烟,大陆,红梅,红梅(软黄),红梅,烤烟型,10mg,,0.8mg,12mg,84mm,24mm,24mm,纸质软包,黄,红,10,20,￥8元,￥80元,6901028048125,6901028047128
154,传统烟,大陆,红梅,红梅(软白),红梅,烤烟型,13mg,,1.2mg,13mg,84mm,24mm,25mg,纸质软包,白,红,,20,￥3元,￥30元,6901028047418,6901028047425
155,传统烟,大陆,红梅,红梅(硬蓝春),红梅,烤烟型,11mg,,0.9mg,12mg,84mm,24mm,24mm,纸质硬盒,蓝,黄,,20,￥5元,￥50元,6901028315036,6901028315043
156,传统烟,大陆,红梅,红梅(硬春),红梅,烤烟型,11mg,,1.0mg,12mg,84mm,24mm,24mm,纸质硬盒,红,黑,,20,￥5元,￥50元,6901028314626,6901028314633
157,传统烟,大陆,红梅,红梅(硬虹),红梅,烤烟型,13mg,,1.2mg,13mg,84mm,24mm,24mm,纸质硬盒,红,黄,,20,￥5元,￥50元,6901028315067,6901028315074
158,传统烟,,,硬盒大伯爵(金),,烤烟型,12mg,,1.0mg,,,,,,,,,,,,,
159,传统烟,,,硬盒大伯爵(红),,烤烟型,15mg,,1.0mg,,,,,,,,,,,,,
160,传统烟,,,软盒田七花,,烤烟型,15mg,,1.0mg,,,,,,,,,,,,,
162,传统烟,大陆,真龙,真龙(珍品),真龙,烤烟型,11mg,,1.1mg,12mg,84mm,27mm,24mm,纸质硬盒,红,金,10,20,￥11元,￥110元,6901028013062,6901028013079
166,传统烟,大陆,真龙,真龙(神韵),真龙,烤烟型,11mg,,1.1mg,12mg,84mm,30mg,24mm,纸质硬盒,咖啡,金,,20,￥50元,￥500元,6901028014960,6901028014977
170,传统烟,,,特制刘三姐,,烤烟型,15mg,,1.0mg,,,,,,,,,,,,,
171,传统烟,,,新版硬盒刘三姐,,烤烟型,15mg,,1.0mg,,,,,,,,,,,,,
172,传统烟,,,新版软盒刘三姐,,烤烟型,15mg,,1.0mg,,,,,,,,,,,,,
173,传统烟,,,软盒(特醇)刘三姐,,烤烟型,15mg,,1.0mg,,,,,,,,,,,,,
174,传统烟,,,硬盒特制(佳品)刘三姐,,烤烟型,,,,,,,,,,,,,,,,
175,传统烟,,,特醇新品刘三姐,,烤烟型,,,,,,,,,,,,,,,,
176,传统烟,,,柔顺刘三姐,,烤烟型,,,,,,,,,,,,,,,,
177,传统烟,,,标准装阿牛哥,,烤烟型,15mg,,1.0mg,,,,,,,,,,,,,
178,传统烟,,,扁盒装阿牛哥,,烤烟型,15mg,,1.0mg,,,,,,,,,,,,,
179,传统烟,,,大地飞歌,,烤烟型,15mg,,1.0mg,,,,,,,,,,￥2元,,,
180,传统烟,,,恭喜,,烤烟型,,,,,,,,,,,,,,,,
181,传统烟,,,青竹,,烤烟型,,,,,,,,,,,,,,,,
182,传统烟,大陆,黄果树,黄果树(景象),黄果树,烤烟型,13mg,,1.1mg,14mg,84mm,22mm,25mg,纸质硬盒,蓝,银,,20,￥11元,￥110元,6901028036672,6901028036689
183,传统烟,大陆,黄果树,黄果树(佳品)??特制佳品,黄果树,烤烟型,10mg,,0.9mg,12mg,84mm,22mm,25mg,纸质硬盒,红,黄,,20,￥7元,￥70元,6901028036955,6901028036962
184,传统烟,大陆,黄果树,黄果树(精品)??磨砂,黄果树,烤烟型,11mg,,1.0mg,11mg,84mm,20mg,25mg,纸质硬盒,金,金,10,20,￥14元,￥140元,6901028036634,6901028036641
185,传统烟,大陆,黄鹤楼,黄鹤楼(福禄寿禧)禧,黄鹤楼,烤烟型,6mg,,0.6mg,6mg,84mm,30mg,,纸质硬盒,红,金,,20,￥80元,￥800元,6901028219945,6901028219952
186,传统烟,大陆,黄果树,黄果树(特醇),黄果树,烤烟型,10mg,,0.8mg,12mg,84mm,20mg,25mg,纸质软包,白,金,,20,￥2元,￥20元,6901028036795,6901028036801
187,传统烟,大陆,黄果树,黄果树(红金),黄果树,烤烟型,15mg,,1.1mg,,84mm,20mg,25mg,纸质硬盒,红,金,,20,￥3元,￥30元,6901028036160,6901028036078
188,传统烟,大陆,黄果树,黄果树(特制醇香)??硬特醇,黄果树,烤烟型,11mg,,1.1mg,14mg,84mm,20mg,25mg,纸质硬盒,黄,红,,20,￥4元,￥40元,6901028037273,6901028037280
189,传统烟,大陆,黄果树,黄果树(清醇),黄果树,烤烟型,10mg,,1.0mg,,84mm,22mm,25mg,纸质硬盒,白,蓝,,20,￥5元,￥50元,6901028036856,6901028036863
190,传统烟,大陆,贵烟,贵烟(喜),贵烟,烤烟型,11mg,,0.9mg,12mg,84mm,25mg,25mg,纸质硬盒,红,银,,20,￥16元,￥160元,6901028037051,6901028037068
191,传统烟,大陆,贵烟,贵烟(福),贵烟,烤烟型,10mg,,1.0mg,12mg,84mm,30mg,25mg,纸质软包,红,金,,20,￥50元,￥500元,6901028037310,6901028037327
192,传统烟,历史品牌,遵义,遵义(硬高),遵义,烤烟型,13mg,,1.2mg,14mg,84mm,22mm,25mg,纸质硬盒,红,金,10,20,￥26元,￥260元,6901028036269,6901028036252
193,传统烟,历史品牌,遵义,遵义(新精品),遵义,烤烟型,13mg,,1.2mg,,84mm,22mm,25mg,纸质硬盒,红,金,,20,￥4元,￥40元,6901028036610,6901028036627
194,传统烟,历史品牌,遵义,遵义(软),遵义,烤烟型,12mg,,1.1mg,14mg,84mm,20mg,25mg,纸质软包,红,白,10,20,￥6元,￥60元,6901028036047,6901028036030
195,传统烟,历史品牌,遵义,遵义(新佳品),遵义,烤烟型,13mg,,1.2mg,14mg,84mm,22mm,25mg,纸质硬盒,红,黄,,20,￥8元,￥80元,6901028037235,6901028037242
196,传统烟,,,老巴夺(世纪硬盒),,烤烟型,15mg,,1.0mg,,,,,,,,,,￥18元,,,
197,传统烟,,,老巴夺(黄硬盒),,烤烟型,15mg,,1.0mg,,,,,,,,,,￥3元,,,
202,传统烟,,,大庆油田(白软盒),,烤烟型,15mg,,1.0mg,,,,,,,,,,￥2元,,,
204,传统烟,大陆,林海灵芝,林海灵芝(16支),林海灵芝,混合型,11mg,,1.1mg,13mg,84mm,20mg,25mg,纸质硬盒,蓝,白,,16,￥3元,￥30元,6901028103350,6901028103367
